operator,implementation,runtime,shape,dtype,block,grid,correct,run_count,min_ms,median_ms,mean_ms,effective_bandwidth_gbs,max_abs_error,median_ms_run_min,median_ms_run_max,effective_bandwidth_gbs_run_min,effective_bandwidth_gbs_run_max,sources
vector-add,hip-v0,hip,16777216,float32,256,65536,OK,3,0.335324,0.336324,0.344716,598.609044,0.0,0.336224,0.337965,595.703362,598.787113,logs/runs/run1.log;logs/runs/run2.log;logs/runs/run3.log
vector-add,hip-v1-contiguous,hip,16777216,float32,256,2048,OK,3,0.362844,0.369584,0.379267,544.738374,0.0,0.367805,0.370344,543.620507,547.373904,logs/runs/run1.log;logs/runs/run2.log;logs/runs/run3.log
vector-add,hip-v1-strided,hip,16777216,float32,256,2048,OK,3,2.366468,2.56717,2.567986,78.423556,0.0,2.539349,2.581509,77.987935,79.282759,logs/runs/run1.log;logs/runs/run2.log;logs/runs/run3.log
vector-add,hip-v2,hip,16777216,float32,256,256,OK,3,0.337084,0.343484,0.350065,586.130918,0.0,0.341984,0.345644,582.46807,588.701781,logs/runs/run1.log;logs/runs/run2.log;logs/runs/run3.log
vector-add,hip-v3,hip,16777216,float32,256,256,OK,3,0.340843,0.345224,0.352362,583.176683,0.0,0.344864,0.347444,579.450457,583.785476,logs/runs/run1.log;logs/runs/run2.log;logs/runs/run3.log
vector-add,triton-t0,triton,16777216,float32,256,65536,OK,3,0.334964,0.336204,0.343423,598.823604,0.0,0.335084,0.336803,597.756836,600.824263,logs/runs/run1.log;logs/runs/run2.log;logs/runs/run3.log
vector-add,triton-t1,triton,16777216,float32,1024,16384,OK,3,0.334604,0.338504,0.346103,594.75395,0.0,0.338404,0.338844,594.157167,594.929706,logs/runs/run1.log;logs/runs/run2.log;logs/runs/run3.log
