operator,implementation,runtime,shape,correct,run_count,median_ms,m,n,k,dtype,sources,min_ms,min_ms_run_min,min_ms_run_max,median_ms_run_min,median_ms_run_max,mean_ms,mean_ms_run_min,mean_ms_run_max,tflops,tflops_run_min,tflops_run_max
matmul,hip-naive,hip,512x512x512,OK,3,0.400323,512,512,512,float32,chapter10-process-1.log;chapter10-process-2.log;chapter10-process-3.log,0.385044,0.381364,0.387043,0.397224,0.406364,0.417519,0.411501,0.427492,0.670547,0.660579,0.675779
matmul,hip-tiled,hip,512x512x512,OK,3,0.183022,512,512,512,float32,chapter10-process-1.log;chapter10-process-2.log;chapter10-process-3.log,0.177922,0.177682,0.179042,0.182662,0.185301,0.185207,0.183688,0.189657,1.466684,1.448642,1.469575
matmul,torch-mm,torch,512x512x512,OK,3,0.130701,512,512,512,float32,chapter10-process-1.log;chapter10-process-2.log;chapter10-process-3.log,0.087361,0.063441,0.116522,0.064381,0.133702,0.127759,0.065028,0.132854,2.053813,2.007722,4.169515
matmul,triton-baseline,triton,512x512x512,OK,3,0.098701,512,512,512,float32,chapter10-process-1.log;chapter10-process-2.log;chapter10-process-3.log,0.095921,0.084121,0.096201,0.087041,0.099041,0.098695,0.087671,0.099016,2.719683,2.710347,3.084012
matmul,triton-grouped,triton,512x512x512,OK,3,0.086721,512,512,512,float32,chapter10-process-1.log;chapter10-process-2.log;chapter10-process-3.log,0.082721,0.081081,0.099041,0.085081,0.119481,0.09371,0.091815,0.118252,3.095392,2.246679,3.155058
