operator,implementation,runtime,shape,correct,run_count,median_ms,dtype,sources,min_ms,min_ms_run_min,min_ms_run_max,median_ms_run_min,median_ms_run_max,mean_ms,mean_ms_run_min,mean_ms_run_max,logical_bandwidth_gbs,logical_bandwidth_gbs_run_min,logical_bandwidth_gbs_run_max
sum-reduction,hip-atomic,hip,16777216,OK,3,34.460838,float32,chapter8-process-1.log;chapter8-process-2.log;chapter8-process-3.log,34.45369,32.688057,34.454559,34.459259,34.461426,34.475006,34.430332,34.477737,1.947395,1.947362,1.947484
sum-reduction,hip-lds,hip,16777216,OK,3,4.32771,float32,chapter8-process-1.log;chapter8-process-2.log;chapter8-process-3.log,3.697284,3.697083,3.711203,4.326371,4.32939,4.289973,4.282549,4.30617,15.506784,15.500767,15.511583
sum-reduction,hip-two-stage,hip,16777216,OK,3,0.059081,float32,chapter8-process-1.log;chapter8-process-2.log;chapter8-process-3.log,0.0584,0.058201,0.058601,0.058961,0.059641,0.059079,0.059062,0.05963,1135.879026,1125.223082,1138.190798
sum-reduction,triton-t0,triton,16777216,OK,3,0.059921,float32,chapter8-process-1.log;chapter8-process-2.log;chapter8-process-3.log,0.059201,0.0576,0.05928,0.0582,0.059921,0.060025,0.059129,0.060678,1119.955739,1119.955739,1153.063446
sum-reduction,triton-t1-local,triton,16777216,OK,3,0.050801,float32,chapter8-process-1.log;chapter8-process-2.log;chapter8-process-3.log,0.0502,0.04864,0.05024,0.04968,0.05146,0.062657,0.056897,0.06457,1321.027695,1304.085063,1350.822671
