implementation,source,trace_dispatches,kernel_names,grid_size_x,workgroup_size_x,lds_block_size,scratch_size,vgpr_count,sgpr_count
hip-atomic,hip-atomic_kernel_trace.csv,14,"(anonymous namespace)::atomic_sum_kernel(float const*, unsigned long, float*);__amd_rocclr_copyBuffer;__amd_rocclr_fillBufferAligned",unavailable,unavailable,0,0,unavailable,128
hip-lds,hip-lds_kernel_trace.csv,14,"(anonymous namespace)::lds_sum_kernel(float const*, unsigned long, float*);__amd_rocclr_copyBuffer;__amd_rocclr_fillBufferAligned",unavailable,unavailable,0,0,unavailable,128
hip-two-stage,hip-two-stage_kernel_trace.csv,20,"(anonymous namespace)::local_wave_partial_kernel(float const*, unsigned long, float*);__amd_rocclr_copyBuffer;__amd_rocclr_fillBufferAligned",unavailable,unavailable,0,0,16,128
triton-t0,triton-t0_kernel_trace.csv,15,"__amd_rocclr_copyBuffer;program_partial_kernel;second_reduction_kernel;void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<float>, std::array<char*, 1ul> >(int, at::native::FillFunctor<float>, std::array<char*, 1ul>)",unavailable,unavailable,0,0,unavailable,128
triton-t1-local,triton-t1-local_kernel_trace.csv,15,"__amd_rocclr_copyBuffer;program_partial_kernel;second_reduction_kernel;void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<float>, std::array<char*, 1ul> >(int, at::native::FillFunctor<float>, std::array<char*, 1ul>)",unavailable,unavailable,0,0,unavailable,128
